Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_17_79,VPWR,li1,42.0900,57.1200,1.799949
FILLER_17_72,VPWR,li1,38.8700,57.1200,1.799955
FILLER_17_69,VPWR,li1,37.9500,57.1200,1.799955
FILLER_17_57,VPWR,li1,32.2000,57.1200,1.799966
FILLER_17_53,VPWR,li1,30.5900,57.1200,1.799969
FILLER_17_50,VPWR,li1,29.2100,57.1200,1.799969
FILLER_17_47,VPWR,li1,27.8300,57.1200,1.799973
FILLER_17_44,VPWR,li1,26.4500,57.1200,1.799973
FILLER_17_41,VPWR,li1,25.0700,57.1200,1.799978
FILLER_17_38,VPWR,li1,23.6900,57.1200,1.799978
FILLER_17_35,VPWR,li1,22.3100,57.1200,1.799981
FILLER_17_32,VPWR,li1,20.9300,57.1200,1.799980
FILLER_17_29,VPWR,li1,19.5500,57.1200,1.799980
FILLER_17_27,VPWR,li1,18.1700,57.1200,1.799979
FILLER_16_73,VPWR,li1,39.7900,57.1200,1.799953
FILLER_16_45,VPWR,li1,26.6800,57.1200,1.799973
FILLER_16_38,VPWR,li1,23.4600,57.1200,1.799981
FILLER_16_35,VPWR,li1,22.3100,57.1200,1.799981
FILLER_16_32,VPWR,li1,20.9300,57.1200,1.799980
FILLER_16_29,VPWR,li1,19.5500,57.1200,1.799980
FILLER_16_6,VPWR,li1,8.7400,57.1200,1.799978
FILLER_15_55,VPWR,li1,31.0500,51.6800,1.799971
FILLER_15_40,VPWR,li1,24.1500,51.6800,1.799978
FILLER_15_9,VPWR,li1,10.3500,51.6800,1.799976
FILLER_14_49,VPWR,li1,28.5200,51.6800,1.799973
FILLER_14_12,VPWR,li1,11.7300,51.6800,1.799976
FILLER_14_9,VPWR,li1,10.3500,51.6800,1.799976
FILLER_14_6,VPWR,li1,8.9700,51.6800,1.799976
FILLER_14_3,VPWR,li1,7.5900,51.6800,1.799976
FILLER_13_60,VPWR,li1,33.5800,46.2400,1.799978
