Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_21_122,VPWR,li1,62.1000,68.0000,1.799952
FILLER_21_119,VPWR,li1,60.9500,68.0000,1.799953
FILLER_21_116,VPWR,li1,59.5700,68.0000,1.799953
FILLER_21_113,VPWR,li1,58.1900,68.0000,1.799955
FILLER_21_110,VPWR,li1,56.5800,68.0000,1.799955
FILLER_21_107,VPWR,li1,55.4300,68.0000,1.799958
FILLER_21_103,VPWR,li1,53.1300,68.0000,1.799959
FILLER_21_100,VPWR,li1,52.2100,68.0000,1.799959
FILLER_21_97,VPWR,li1,50.8300,68.0000,1.799962
FILLER_21_94,VPWR,li1,49.4500,68.0000,1.799962
FILLER_21_91,VPWR,li1,48.0700,68.0000,1.799965
FILLER_21_88,VPWR,li1,46.6900,68.0000,1.799965
FILLER_21_85,VPWR,li1,45.3100,68.0000,1.799967
FILLER_21_81,VPWR,li1,43.4700,68.0000,1.799969
FILLER_21_78,VPWR,li1,42.0900,68.0000,1.799969
FILLER_21_75,VPWR,li1,40.7100,68.0000,1.799972
FILLER_21_72,VPWR,li1,39.3300,68.0000,1.799972
FILLER_21_69,VPWR,li1,37.9500,68.0000,1.799974
FILLER_21_66,VPWR,li1,36.5700,68.0000,1.799974
FILLER_21_63,VPWR,li1,35.1900,68.0000,1.799976
FILLER_21_60,VPWR,li1,33.8100,68.0000,1.799978
FILLER_21_57,VPWR,li1,32.4300,68.0000,1.799978
FILLER_21_53,VPWR,li1,30.5900,68.0000,1.799980
FILLER_21_50,VPWR,li1,29.2100,68.0000,1.799983
FILLER_21_47,VPWR,li1,27.8300,68.0000,1.799983
FILLER_21_44,VPWR,li1,26.4500,68.0000,1.799985
FILLER_21_41,VPWR,li1,25.0700,68.0000,1.799985
FILLER_21_38,VPWR,li1,23.6900,68.0000,1.799987
FILLER_21_35,VPWR,li1,22.3100,68.0000,1.799989
FILLER_21_32,VPWR,li1,20.9300,68.0000,1.799989
FILLER_21_29,VPWR,li1,19.5500,68.0000,1.799989
FILLER_21_27,VPWR,li1,18.1700,68.0000,1.799989
FILLER_21_24,VPWR,li1,17.2500,68.0000,1.799989
FILLER_21_21,VPWR,li1,15.8700,68.0000,1.799988
FILLER_21_18,VPWR,li1,14.4900,68.0000,1.799988
FILLER_21_15,VPWR,li1,13.1100,68.0000,1.799988
FILLER_21_12,VPWR,li1,11.7300,68.0000,1.799988
FILLER_21_9,VPWR,li1,10.3500,68.0000,1.799988
FILLER_20_106,VPWR,li1,54.5100,68.0000,1.799958
FILLER_20_103,VPWR,li1,53.5900,68.0000,1.799959
FILLER_20_100,VPWR,li1,52.2100,68.0000,1.799959
FILLER_20_97,VPWR,li1,50.8300,68.0000,1.799962
FILLER_20_94,VPWR,li1,49.4500,68.0000,1.799962
FILLER_20_91,VPWR,li1,48.0700,68.0000,1.799965
FILLER_20_88,VPWR,li1,46.6900,68.0000,1.799965
FILLER_20_85,VPWR,li1,45.3100,68.0000,1.799967
FILLER_20_81,VPWR,li1,43.4700,68.0000,1.799969
FILLER_20_78,VPWR,li1,42.0900,68.0000,1.799969
FILLER_20_75,VPWR,li1,40.7100,68.0000,1.799972
FILLER_20_72,VPWR,li1,39.3300,68.0000,1.799972
FILLER_20_65,VPWR,li1,35.6500,68.0000,1.799976
FILLER_20_62,VPWR,li1,34.7300,68.0000,1.799976
FILLER_20_59,VPWR,li1,33.3500,68.0000,1.799978
FILLER_20_56,VPWR,li1,31.9700,68.0000,1.799980
FILLER_20_53,VPWR,li1,30.5900,68.0000,1.799980
FILLER_20_50,VPWR,li1,29.2100,68.0000,1.799983
FILLER_20_47,VPWR,li1,27.8300,68.0000,1.799983
FILLER_20_38,VPWR,li1,23.2300,68.0000,1.799987
FILLER_20_35,VPWR,li1,22.3100,68.0000,1.799989
FILLER_20_32,VPWR,li1,20.9300,68.0000,1.799989
FILLER_20_29,VPWR,li1,19.5500,68.0000,1.799989
FILLER_20_26,VPWR,li1,17.9400,68.0000,1.799989
FILLER_20_23,VPWR,li1,16.7900,68.0000,1.799989
FILLER_19_124,VPWR,li1,63.2500,62.5600,1.799983
FILLER_19_121,VPWR,li1,61.8700,62.5600,1.799983
FILLER_19_113,VPWR,li1,58.1900,62.5600,1.799983
FILLER_19_111,VPWR,li1,56.8100,62.5600,1.799983
FILLER_19_108,VPWR,li1,55.8900,62.5600,1.799983
FILLER_19_105,VPWR,li1,54.5100,62.5600,1.799983
FILLER_19_102,VPWR,li1,53.1300,62.5600,1.799983
FILLER_19_99,VPWR,li1,51.7500,62.5600,1.799983
FILLER_19_57,VPWR,li1,32.4300,62.5600,1.799989
FILLER_19_55,VPWR,li1,31.0500,62.5600,1.799990
FILLER_19_52,VPWR,li1,30.1300,62.5600,1.799990
FILLER_19_46,VPWR,li1,26.9100,62.5600,1.799991
FILLER_19_21,VPWR,li1,15.6400,62.5600,1.799993
FILLER_19_18,VPWR,li1,14.4900,62.5600,1.799993
FILLER_19_15,VPWR,li1,13.1100,62.5600,1.799993
FILLER_19_12,VPWR,li1,11.7300,62.5600,1.799993
FILLER_19_9,VPWR,li1,10.3500,62.5600,1.799993
FILLER_19_6,VPWR,li1,8.9700,62.5600,1.799993
FILLER_19_3,VPWR,li1,7.5900,62.5600,1.799993
FILLER_18_126,VPWR,li1,63.7100,62.5600,1.799983
FILLER_18_123,VPWR,li1,62.7900,62.5600,1.799983
FILLER_18_120,VPWR,li1,61.4100,62.5600,1.799983
FILLER_18_117,VPWR,li1,60.0300,62.5600,1.799983
FILLER_18_114,VPWR,li1,58.6500,62.5600,1.799983
FILLER_18_89,VPWR,li1,46.9200,62.5600,1.799984
FILLER_18_83,VPWR,li1,43.9300,62.5600,1.799985
FILLER_18_27,VPWR,li1,18.1700,62.5600,1.799993
FILLER_18_24,VPWR,li1,17.2500,62.5600,1.799993
FILLER_18_21,VPWR,li1,15.8700,62.5600,1.799993
FILLER_18_18,VPWR,li1,14.4900,62.5600,1.799993
